,No. of bombers,No. of fighters,No. of UAVs,Deterrence Mission Delays,Escort Mission Delays,Recon Mission Delays
30,6,6,8,13.665234689691903,10.484243857678418,5.061785884453908
31,6,6,8,13.595678913246795,10.55589582135776,5.330819440165019
32,6,6,10,15.272768156414115,13.001320808574208,5.116867712445856
33,6,6,10,13.47594456923635,11.083293963529579,4.668374429117349
34,6,6,10,14.685994420206887,11.911991585546637,5.009495621613331
35,6,6,10,16.09754536017793,13.872421744226697,5.583733886036633
36,6,6,10,17.263971732239867,14.84728046427544,5.716536445643807
37,6,6,10,17.173315012867224,14.378282957268912,5.589004546656537
38,6,6,10,16.016923313795584,12.706837061820025,5.225482928495199
39,6,6,10,15.938639340595653,12.711564008164634,5.618174775759304
40,6,6,12,17.24511183723582,15.39070081128456,4.999085480255133
41,6,6,12,18.192309281775053,15.94743748182069,5.5011918189740765
42,6,6,12,17.241405136872313,15.832751252694978,5.210568121242236
43,6,6,12,17.692479138710638,15.847322546974379,5.248088964888444
44,6,6,12,18.2485561214284,16.274013072619493,5.359123102393374
45,6,6,12,18.005465466749698,15.51044780310205,5.216850496531976
46,6,6,12,19.513857096974586,17.530560486512787,5.993676511122668
47,6,6,12,19.015973145009234,16.846962781789774,5.7485913007847556
48,8,6,8,21.50044812657767,20.44436064638281,8.534714179682956
49,8,6,8,18.771585176150623,16.876043209060025,7.261954658615493
50,8,6,8,21.027281158934983,20.407051422737,8.136637304112991
51,8,6,8,25.37413984775525,25.3970292600203,9.340957574761667
52,8,6,8,24.914001457441472,23.315696568536666,9.242651014830736
53,8,6,8,22.52808742845813,21.295212390795204,8.539989776922813
54,8,6,8,27.79007670772276,27.782594635520933,10.009321677343161
55,8,6,8,22.641609997992045,20.961190537558686,8.88134924014652
56,8,6,10,27.82983880314045,27.59884366989742,9.165687552436893
57,8,6,10,26.49271605263052,26.81782843875091,8.470098037089578
58,8,6,10,25.436237160040708,25.588280327603332,8.498692260998366
59,8,6,10,25.02214958617597,24.022343578232555,8.441665942883501
60,8,6,10,27.26168351740968,26.362972111512576,9.396042665861579
61,8,6,10,28.45272427964991,27.895095050241014,9.229020418252183
62,8,6,10,25.259868767309534,23.98452553860168,8.165739978825119
63,8,6,10,29.184520237813352,29.57542633753228,9.57780201414967
64,8,6,12,26.164701072252992,26.66720511108435,7.7987894570346
65,8,6,12,29.745662971766563,29.757901267617015,9.059711898062057
66,8,6,12,29.86359224825679,31.24119537070637,9.072404634684188
67,8,6,12,27.64004299459749,28.646300761104,8.719049064471015
68,8,6,12,27.598528955305156,27.87236226528263,8.3069639715165
69,8,6,12,29.017951831641074,29.653035935239128,8.566857770714869
70,8,6,12,28.631023956474664,28.047974875986544,8.885051181334136
71,8,6,12,27.759392231969557,27.14282630503216,8.312837797148699
72,4,8,8,13.001612188876452,15.729322070244837,4.0405871330507885
73,4,8,8,13.050425555291957,15.437545016148743,4.116448099683433
74,4,8,8,12.932356225832669,14.412143416035372,4.135470193504646
75,4,8,8,12.683169779902883,16.41419774335022,4.046966871349253
76,4,8,8,13.108212579459451,15.929676811351367,4.4531638300653675
77,4,8,8,12.602466713937273,18.208319826647738,4.111710836876084
78,4,8,8,12.964259210822233,13.486458692424566,4.412640701273461
79,4,8,8,12.762313760854065,18.826565099230844,3.995158140184701
80,4,8,10,13.87279141530458,16.40681062885612,3.3844385674170185
81,4,8,10,14.411972465665114,17.183020024353812,3.4303326578080005
82,4,8,10,13.875574779317107,15.87823411490431,3.3561963478944175
83,4,8,10,13.98250356226003,16.554962735585942,3.572522982564625
84,4,8,10,13.572586564738334,15.109854026227115,3.517445974149225
85,4,8,10,13.877098746975149,16.472795632247667,3.6613930446324368
86,4,8,10,14.742042347912125,15.10519831392746,3.5232508359305412
87,4,8,10,13.45112830202153,16.317630397542494,3.6515592851877905
88,4,8,12,14.361855715963195,18.00365853535149,2.832011760435246
89,4,8,12,14.610853775737723,16.744135495088646,3.076535403551441
90,4,8,12,14.266738962825395,17.874583913422995,3.1223468571037154
91,4,8,12,15.0562770175173,17.64721452853205,3.3532082183529934
92,4,8,12,14.718911246438225,15.90963198252402,3.1013235710375167
93,4,8,12,14.530976391388402,16.650531014939364,3.136624895156077
94,4,8,12,14.261778839330931,15.461440563652154,3.2000559506371626
95,4,8,12,14.76851559801662,16.353330280587947,3.086905632088242
96,6,8,8,11.566644596288278,7.614900499510449,4.588720289257366
97,6,8,8,11.142410070507886,7.887598152258255,4.811330334873671
98,6,8,8,11.098859907696543,7.377357395342118,4.637841952486343
99,6,8,8,10.258803868127796,6.5625486787325995,4.649616132609571
100,6,8,8,11.2798191918045,7.719591242780008,4.816947179247768
101,6,8,8,10.43160480247727,7.05601531156809,4.3454731351974605
102,6,8,8,10.40799162077746,6.5096953962856245,4.84758728605922
103,6,8,8,10.974909276813403,7.094744340903633,4.618119446824336
104,6,8,10,11.89650183086252,8.469473588201215,4.187264249740836
105,6,8,10,10.974774639818895,7.24356889633489,3.9112909678940264
106,6,8,10,11.476682941007269,7.483959791430633,4.282302492025834
107,6,8,10,10.956839286659234,7.097003443745259,4.026589757620443
108,6,8,10,13.496432150786013,9.908383129981818,4.539542053526289
109,6,8,10,11.233633204844518,7.999066966345639,4.042812686867592
110,6,8,10,10.877471889287484,7.263194566708974,3.925600670052631
111,6,8,10,12.521676023940792,9.02752309528513,4.105319381585738
112,6,8,12,13.707937830917423,10.251908893859033,4.307332209221385
113,6,8,12,13.573232847635143,10.151980371627317,4.33632550879038
114,6,8,12,13.88908319469793,11.223171441840814,4.065328716365388
115,6,8,12,13.399382225680663,10.4493462114334,4.459257191861526
116,6,8,12,13.182330596729503,10.13023605510103,4.028362779733762
117,6,8,12,12.977402487259507,9.643155500560438,4.006151747248347
118,6,8,12,13.623826630646953,10.859569147777684,4.394825729085426
119,6,8,12,12.78926158901579,9.53382001776672,4.120682702419696
120,8,8,8,14.317849884860184,11.112201130206577,6.240731010715361
121,8,8,8,13.65667824421317,10.653970080207037,6.1773027458529945
122,8,8,8,14.838978684889284,11.472904738866289,6.474097678953479
123,8,8,8,16.872452722052977,14.036807759911294,7.552407668873586
124,8,8,8,16.94563250591973,14.239268778100149,6.911853782899847
125,8,8,8,13.472128352259363,10.701817050138944,5.90843556258799
126,8,8,8,16.059212246784476,13.791457057414927,6.87412307262585
127,8,8,8,15.276599063784623,12.093110104168554,6.744047939389874
128,8,8,10,19.276699022551124,16.64122558794092,6.886466987734662
129,8,8,10,20.150268582908087,17.877722207290585,6.887357653168139
130,8,8,10,18.46046032217142,16.045181866827715,6.893571899841642
131,8,8,10,18.52363114361085,16.597243699827487,6.810030558312749
132,8,8,10,19.93871061608569,17.371957401548144,7.4699708406474
133,8,8,10,17.625149088314636,15.04265779440458,6.500774532274151
134,8,8,10,19.390346778535996,16.55321820216359,6.972317948015807
135,8,8,10,19.26215950119557,16.931946855661113,7.15093013982881
136,8,8,12,18.986126614767993,16.810152109760395,6.005067364481123
137,8,8,12,23.49400817163485,22.367088903002635,7.4922261369411105
138,8,8,12,23.958279341941523,22.5696230717752,7.519289155163612
139,8,8,12,20.414220877041615,17.659232222478515,6.543179112212009
140,8,8,12,22.753777471473537,20.79668557141933,7.204143732810412
141,8,8,12,23.400630646368512,21.720869280984402,7.2119289568886815
142,8,8,12,20.477861736665897,18.4825313187651,6.6286114053333165
143,8,8,12,19.454362700805063,17.31000340873731,6.190122254311538
144,4,10,8,12.947870412131637,15.317532859178472,4.714605007027411
145,4,10,8,12.152237747765849,14.097229385911653,3.8360232508015484
146,4,10,8,12.396058977318852,15.777498899017017,4.083207833682141
147,4,10,8,12.729750297870225,17.3063033311331,4.2494562909468145
148,4,10,8,12.607275467155109,16.718807008379905,3.719129782223703
149,4,10,8,12.053819036222007,14.818111343286716,3.7053784482504324
150,4,10,8,12.28255443224813,16.50854477223381,3.9054894191481333
151,4,10,8,12.526250776286638,14.763097600092898,3.9903219383326674
152,4,10,10,13.476698012459776,13.618712879609584,3.697762515544004
153,4,10,10,13.506687321022174,15.888173644606397,3.55564929078145
154,4,10,10,14.438015852830395,19.310686564199703,3.529813435589139
155,4,10,10,13.872314328888072,16.87276757970984,3.51215671991985
156,4,10,10,12.961666387221115,15.840782811911742,3.4036243689750707
157,4,10,10,13.220634248355584,15.71743797098218,3.4289921744743124
158,4,10,10,13.160682219889296,18.25607180946581,3.173413984328063
159,4,10,10,14.172923941209094,16.33217844482807,3.5265522168339425
160,4,10,12,13.926538336346187,15.675293895091567,3.041673367477871
